"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","579","Add multiple different products to cart","","Mon May 18 13:08:15 UTC 2026","broken","Mon May 18 13:08:16 UTC 2026","","Shopping Cart","Add multiple different products to cart",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1604","Sort products by price high to low","","Mon May 18 13:08:33 UTC 2026","broken","Mon May 18 13:08:34 UTC 2026","","Product Filtering and Sorting","Sort products by price high to low",""
"","1593","Verify User is able to open the qr scanner","","Mon May 18 13:08:52 UTC 2026","broken","Mon May 18 13:08:54 UTC 2026","","Navbar functionality","Verify User is able to open the qr scanner",""
"","1590","Verify User is able to handle maps","","Mon May 18 13:08:54 UTC 2026","broken","Mon May 18 13:08:56 UTC 2026","","Navbar functionality","Verify User is able to handle maps",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","723","Remove a product from within the cart","","Mon May 18 13:08:16 UTC 2026","broken","Mon May 18 13:08:17 UTC 2026","","Shopping Cart","Remove a product from within the cart",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1606","QR code scanner opens from navigation menu","","Mon May 18 13:08:49 UTC 2026","broken","Mon May 18 13:08:51 UTC 2026","","Navigation Menu","QR code scanner opens from navigation menu",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1605","Login with multiple user types","","Mon May 18 13:08:40 UTC 2026","broken","Mon May 18 13:08:41 UTC 2026","","User Authentication","Login with multiple user types",""
"","1580","Verify User is able to navigating to about webpage","","Mon May 18 13:08:56 UTC 2026","broken","Mon May 18 13:08:57 UTC 2026","","Navbar functionality","Verify User is able to navigating to about webpage",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1590","Navigation menu opens successfully","","Mon May 18 13:08:46 UTC 2026","broken","Mon May 18 13:08:48 UTC 2026","","Navigation Menu","Navigation menu opens successfully",""
"","1581","Valid logout","","Mon May 18 13:08:57 UTC 2026","broken","Mon May 18 13:08:59 UTC 2026","","Navbar functionality","Valid logout",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1600","Sort products A to Z","","Mon May 18 13:08:28 UTC 2026","broken","Mon May 18 13:08:29 UTC 2026","","Product Filtering and Sorting","Sort products A to Z",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1591","Login with multiple user types","","Mon May 18 13:08:41 UTC 2026","broken","Mon May 18 13:08:43 UTC 2026","","User Authentication","Login with multiple user types",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1601","Login with multiple user types","","Mon May 18 13:08:38 UTC 2026","broken","Mon May 18 13:08:40 UTC 2026","","User Authentication","Login with multiple user types",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1594","Remove a product from the products page","","Mon May 18 13:08:17 UTC 2026","broken","Mon May 18 13:08:18 UTC 2026","","Shopping Cart","Remove a product from the products page",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1613","Login with multiple user types","","Mon May 18 13:08:43 UTC 2026","broken","Mon May 18 13:08:44 UTC 2026","","User Authentication","Login with multiple user types",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1591","Sort products Z to A","","Mon May 18 13:08:29 UTC 2026","broken","Mon May 18 13:08:31 UTC 2026","","Product Filtering and Sorting","Sort products Z to A",""
"  As a logged-in user
  I want to complete a full purchase
  So that I can verify the entire checkout journey works correctly","1588","Complete purchase flow from login to order confirmation","","Mon May 18 13:08:25 UTC 2026","broken","Mon May 18 13:08:26 UTC 2026","","End-to-End Purchase Flow","Complete purchase flow from login to order confirmation",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","2128","Cancel sort dialog returns to products page","","Mon May 18 13:08:34 UTC 2026","broken","Mon May 18 13:08:36 UTC 2026","","Product Filtering and Sorting","Cancel sort dialog returns to products page",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1591","Geo location opens from navigation menu","","Mon May 18 13:08:51 UTC 2026","broken","Mon May 18 13:08:52 UTC 2026","","Navigation Menu","Geo location opens from navigation menu",""
