"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1564","Verify User is able to handle maps","","Thu May 14 15:23:41 UTC 2026","broken","Thu May 14 15:23:43 UTC 2026","","Navbar functionality","Verify User is able to handle maps",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1635","Sort products by price high to low","","Thu May 14 15:23:21 UTC 2026","broken","Thu May 14 15:23:23 UTC 2026","","Product Filtering and Sorting","Sort products by price high to low",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","609","Add multiple different products to cart","","Thu May 14 15:23:05 UTC 2026","broken","Thu May 14 15:23:05 UTC 2026","","Shopping Cart","Add multiple different products to cart",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1546","Toggle product list view","","Thu May 14 15:23:15 UTC 2026","broken","Thu May 14 15:23:17 UTC 2026","","Product Filtering and Sorting","Toggle product list view",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1528","Invalid login with wrong password shows error","","Thu May 14 15:23:32 UTC 2026","broken","Thu May 14 15:23:34 UTC 2026","","User Authentication","Invalid login with wrong password shows error",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1535","Continue shopping returns to products page","","Thu May 14 15:23:10 UTC 2026","broken","Thu May 14 15:23:12 UTC 2026","","Shopping Cart","Continue shopping returns to products page",""
"","1549","Verify User is able to navigating to about webpage","","Thu May 14 15:23:43 UTC 2026","broken","Thu May 14 15:23:44 UTC 2026","","Navbar functionality","Verify User is able to navigating to about webpage",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1527","Login with multiple user types","","Thu May 14 15:23:28 UTC 2026","broken","Thu May 14 15:23:29 UTC 2026","","User Authentication","Login with multiple user types",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1548","Sort products Z to A","","Thu May 14 15:23:18 UTC 2026","broken","Thu May 14 15:23:20 UTC 2026","","Product Filtering and Sorting","Sort products Z to A",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1537","User can logout via navigation menu","","Thu May 14 15:23:35 UTC 2026","broken","Thu May 14 15:23:37 UTC 2026","","Navigation Menu","User can logout via navigation menu",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1537","Login with multiple user types","","Thu May 14 15:23:29 UTC 2026","broken","Thu May 14 15:23:31 UTC 2026","","User Authentication","Login with multiple user types",""
"","1533","Valid logout","","Thu May 14 15:23:44 UTC 2026","broken","Thu May 14 15:23:46 UTC 2026","","Navbar functionality","Valid logout",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1538","Sort products A to Z","","Thu May 14 15:23:17 UTC 2026","broken","Thu May 14 15:23:18 UTC 2026","","Product Filtering and Sorting","Sort products A to Z",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1541","Cart total matches sum of individual product prices","","Thu May 14 15:23:09 UTC 2026","broken","Thu May 14 15:23:10 UTC 2026","","Shopping Cart","Cart total matches sum of individual product prices",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1531","Navigation menu opens successfully","","Thu May 14 15:23:34 UTC 2026","broken","Thu May 14 15:23:35 UTC 2026","","Navigation Menu","Navigation menu opens successfully",""
